,breakpoint
0,1802-11-30
1,1814-06-30
2,1826-03-31
3,1837-11-30
4,1872-11-30
5,1884-08-31
6,1896-03-31
7,1907-11-30
8,1919-08-31
9,1931-03-31
10,1942-12-31
11,1989-09-30
12,2001-05-31
