,breakpoint
0,1805-05-31
1,1817-12-31
2,1830-08-31
3,1843-03-31
4,1881-03-31
5,1906-05-31
6,1919-01-31
7,1931-08-31
8,1956-12-31
9,1969-06-30
10,2007-06-30
