,adjustment
1,-0.04307255822739679
2,-0.23180428462630653
3,-0.011924520269170541
4,0.2110251741685098
5,-0.16174236503807274
6,-0.04117606718794288
7,0.07728744750697863
8,-0.10148437223196571
9,-0.004570698609807205
10,0.12518751702341094
11,0.3021800529229249
