Year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1878	6.9	6.8	6.7	8.7	11.2	14.2	15.7	15.7	14.3	12.3	6.7	4.8
1879	3.5	5.4	5.8	6.8	8.2	11.6	12.8	14.7	13	11.7	6.5	3.8
1880	3.3	7.2	8.7	8.6	11.2	12.4	15.8	16.3	15.3	11	8.7	9.4
1881	3.6	6.1	7.7	7.5	10.7	12.7	15.9	15.1	13.8	10.1	10.6	6.5
1882	6	6.4	8.1	9.1	11.8	13	14.4	15.3	13.3	11.8	8.8	6.9
1883	6.6	6.9	3.7	8	10.2	13.2	14.4	15.5	14.2	11.3	8.8	6.8
1884	7.5	6.6	7.4	7.4	11.6	12.8	15.5	17.2	15.4	11.2	8	7.2
1885	4.6	7.3	5.8	7.4	9	13.4	14.7	14.6	14.1	9.5	8.7	6.6
1886	4.8	4.3	5.7	8.6	11	12.9	15.7	15.6	15.7	13.1	9.1	6.4
1887	4.8	5.3	5.1	6.7	9.4	13.8	15.6	16.1	13.3	9.4	7.1	6
1888	5.4	3.3	4.2	6.4	9.6	12.6	13.6	14.1	14.2	10.3	10.2	7.9
1889	5.9	5.3	5.7	7.7	11.4	13.8	15	15	14.7	10.9	9.2	6.3
1890	8.3	5.9	7.2	8.1	11.4	12.7	13.8	14.5	14.8	11.8	8.4	2.9
1891	4.8	6.1	6.8	6.9	9.6	13.4	14.4	14.5	15.1	12.2	8.3	7.8
1892	5.6	6.2	4.9	7.9	11.3	13.3	15	16.4	14.8	10.2	9.9	6.6
1893	5.4	7.5	9.4	11.5	13.2	15.4	16.3	18.1	15.2	12.9	8.6	7.6
1894	5.9	7.4	8.5	10.7	10.3	13.6	15.2	15.3	14.4	12.5	10.4	8.3
1895	4.4	1.1	6.3	8.5	11.9	14.3	15.1	16	17.6	11.1	11.3	8.8
1896	7.3	6.7	9.1	10	12.2	15.4	16.9	15.9	14.4	10.2	7.8	7.2
1897	5.1	8.5	8.3	9.1	10.6	14.8	16.4	16.4	14.2	13.3	10.8	8.4
1898	7.9	7.8	6.2	9.6	11	13.4	16.4	16.8	17.2	14.1	10.2	9.8
1899	8.6	8.2	7.2	9.3	11.3	15.2	16.6	18.7	15.9	13.2	10.7	6.7
1900	7.8	6.7	5.9	9.8	10.8	13.6	17.2	15.9	15.5	12.9	9.7	9.9
1901	6.7	4.8	5.9	9.3	11.2	14.1	16.9	16.6	15.4	12.4	8.7	7.2
1902	7.7	4.9	8	8.8	9.7	13.1	15.2	15.8	15.4	12	9.3	7.7
1903	7.2	7.8	8.4	7.7	11.1	12.2	15.2	14.8	14.4	12.3	9.5	6.3
1904	6.6	5.8	6	8.8	10.7	12.5	16.2	15.4	13.9	12.4	9.1	8.5
1905	6.2	6.9	7.9	8.3	10.3	13.2	15.8	15.2	13.6	10.3	8.2	7.2
1906	7.8	6	6.4	7.7	10.2	12.6	14.7	16.6	15.2	12.2	9.7	6.6
1907	5.9	4.8	7.7	8	10.4	12.1	13.9	15.2	15.1	12.1	10.1	8
1908	5.6	6.8	6.1	7.3	11.2	13.1	15.1	15.7	13.7	14.2	10.6	7.8
1909	6.9	5.2	5.6	9.2	10.8	12.2	14.7	16.1	14.2	12.9	8.5	7.7
1910	6.4	7.4	7.7	8	10.4	13.3	14.2	15.4	13.9	12.7	7.5	9.2
1911	5.7	6.5	6.9	7.5	11.8	13.6	17.1	18.2	16.7	12.4	9.1	9.1
1912	7.6	7.7	8.4	9.5	12.3	13.1	15.3	13.4	12.8	11.8	9	9.1
1913	7.6	6.9	8	8.7	10.7	12.9	12.5	15.4	14.2	13.3	10.8	7.9
1914	5.4	7.9	8.1	8.8	11.2	13.3	15.3	16.1	14.8	12.2	9.4	8.1
1915	6.4	6	6.3	7.8	10.9	13	14.3	15.6	14.8	11.7	7.1	8.9
1916	8.4	5.9	5.6	8.4	11.9	11.4	14.3	16.7	14.4	12.8	8.6	6.4
1917	3.8	3.8	5.2	5.9	11.7	14.7	15	14.8	15	10.5	9.8	5.7
1918	6.1	6.9	6.9	7.6	11.9	12.5	15.2	15.9	13.7	11.2	9.1	9.6
1919	6.2	5.4	6.3	7.4	11.9	13.4	13.6	16.1	14.7	10.4	6.8	8.5
1920	7.5	7.3	8.4	9.2	11.7	13.4	13.7	14.1	14.1	13.1	9.4	7.2
1921	8.9	6.4	7.9	8.6	11.1	13.8	17.6	15.9	16.3	15.6	9.4	9.5
1922	7.8	7.4	6.9	7.6	12.8	13.6	14	14.6	13.6	10.9	8.8	8.2
1923	7.6	8.3	8.4	9.2	10.3	12.9	16.5	15.9	13.9	12.3	6.9	7.7
1924	7.5	5.5	6.9	8.1	11.6	13.3	15.1	14.7	14.6	12.5	9.7	8.1
1925	7.7	7.3	6.4	8.4	10.9	14.6	15.6	15.6	13.4	12.8	7.7	7
1926	7.2	8.7	7.7	9.6	10.9	12.8	16	16.8	16.7	11.8	9.3	7.2
1927	7.4	6.7	8.4	9.1	12.2	12.9	15.3	15.7	13.8	13.2	8.9	5.6
1928	7.9	8.3	7.8	9.2	10.9	13.4	16	16.3	15.4	12.9	10.6	7.4
1929	4.8	3.9	7.2	7.7	10.7	12.9	15.4	15.8	16.8	12	9.9	8.7
1930	8.3	5.4	7.2	8.9	10.9	14.3	15.4	16.4	15.2	13.1	10	8.2
1931	7.2	6.5	6.6	8.7	11.3	14.1	15.1	15.3	13.4	12.1	10.2	8.2
1932	8.5	5.3	6.7	7.9	10.3	13.8	15.4	17.1	15.2	11.7	9.3	8
1933	5.8	6.5	8.9	9.3	12.4	14.8	16.8	17.7	16.3	13	8.4	4.7
1934	6.7	5.2	6.8	8.7	11.1	14.6	17.1	15.4	15.4	12.5	8.6	10.3
1935	7.1	7.6	7.3	9.1	10.4	14.2	16.2	16.3	15.4	11.7	9.3	7
1936	7.8	5.9	8.4	7.9	11.2	13.9	15.1	16	15.6	11.7	8.9	7.8
1937	8	8.6	6.1	9.8	11.9	14.1	15.6	16.9	15.1	12.9	9.2	6.9
1938	8.1	6.6	9.4	8.6	10.9	14.4	14.7	16.2	14.9	12.8	11.4	7.1
1939	7.5	7.5	7.6	9.7	11.1	13.9	15.1	16.4	16.1	11.1	11.1	6.6
1940	4.3	6.7	7.6	9.5	12	15.2	14.9	16.3	15.2	12.1	9.9	6.9
1941	4.6	6.2	7.3	7.6	9.2	14.1	16.6	15.1	15.7	13	9.3	8.6
1942	5.1	3.5	7.7	9.7	11.4	14.1	15.4	16.4	15	13	8.8	9
1943	8.3	7.7	8.4	11.6	12.5	13.9	15.9	16.2	14.5	12.9	9.4	7.4
1944	8.3	5.6	6.8	10.2	11.6	13.5	15.5	17.2	14.4	11.8	9.7	7.3
1945	4.4	8.2	8.4	11.2	12.4	14.4	16.2	16.2	15.9	14	10.4	8.9
1946	6.1	8.2	7	9.9	10.5	12.6	15.5	14	14.5	12.2	10.1	6.3
1947	4.38548390903781	1.94464286523206	6.59838701063587	9.1966667175293	12.5903225867979	14.6866666475932	15.9370968726373	18.4403225683397	15.9099998792013	13.2532258802845	10.5749998728434	7.52741931330773
1948	7.99838704447592	5.88103454277433	10.025806519293	9.31166677474976	11.6838709615892	13.6316668192546	15.5112904579409	15.6806450813047	14.710000038147	12.3709677111718	10.4749999046326	7.61612897726797
1949	7.50483869737194	7.29107140643256	6.95483875274658	10.1433331012726	10.6806451428321	15.1550001780192	17.7000000861383	17.5903224637431	17.4666669845581	14.0177418493455	9.1633333047231	8.07580641777285
1950	6.37903228113728	7.58035714285714	8.25161280170564	8.70666662851969	11.7112902364423	15.5216667175293	15.9887094497681	15.9967739658971	14.0883332252502	11.8967739843553	9.22333342234294	4.59354840940045
1951	6.6741934591724	5.60535715307508	6.07580651775483	7.87833333015442	10.1290323811193	13.7483332633972	15.8177417939709	15.2596773332165	15.2516667366028	12.3290324057302	10.3466667811076	8.18387086929813
1952	5.64032260064156	5.35862070116503	7.75322572646602	9.70333333015442	13.1983870844687	14.4650002479553	16.2758063654746	16.6064516498197	13.0683334032695	11.7387096958776	7.73499991893768	6.49032257449242
1953	5.30483870352468	5.0553572007588	7.28387101234928	8.57833333015442	12.3322579783778	13.5283334414164	15.0354839448006	16.2999999138617	14.958333269755	12.7564515452231	10.1800000190735	10.0274195209626
1954	5.47258059632394	5.02857138003622	7.4032258372153	7.94500001271566	11.0258064885293	12.7650000254313	13.8000000984438	14.6177422000516	13.9566667874654	13.4338709308255	10.1733332316081	8.88387101696384
1955	6.05161300013142	4.77857152904783	4.62096774578094	8.96333328882853	10.2983871275379	13.9150001207987	16.5903225252705	18.5387095174482	15.5583333651225	11.7129032381119	9.80000009536743	9.34354826711839
1956	6.81612903071988	1.65000001726479	7.44838704601411	7.79000000953674	11.6096774378131	12.9033334096273	15.6790322334536	14.3596774378131	15.3250000317891	12.0225807159178	8.53333344459534	8.4822580275997
1957	7.01935489716068	7.45892863614219	10.2790323072864	9.60000003178914	11.122580559023	15.1266665458679	16.1806448967226	15.8467741012573	14.4016667366028	12.8919353792744	8.72999989191691	7.21451600136295
1958	6.23064514898485	7.54821426527841	5.65483868506647	7.78499997456869	11.4790323934247	13.6483333587646	15.2725804236627	15.7983870044831	16.0349998474121	12.4403225991034	9.4266664981842	8.13548381866947
1959	5.96451611672678	6.63750001362392	8.56935485716789	9.85500001907349	12.2451613026281	14.7350001017253	17.129032011955	17.1983871459961	17.4049999554952	14.4338709308255	9.76833329200745	8.47741928408223
1960	6.55806437615425	6.22586214131322	8.11451610442131	9.39833348592122	13.101612921684	15.4333333333333	15.2338707216324	15.7596769948159	14.7166666030884	12.3870967434299	9.79833323160807	6.84516128416984
1961	6.345161268788	8.13392853736877	8.94838708446872	10.9283332824707	12.0193547894878	14.763333384196	16.1983868383592	16.574193339194	16.9616665840149	13.0822581937236	8.88166659673055	6.75483872044471
1962	6.92096790959758	5.8214285671711	4.38709669728433	8.18166669209798	10.241935483871	13.5083335240682	15.6822579599196	15.4467739289807	14.613333384196	12.9564515698341	8.60166657765706	6.08387106080209
1963	1.42903223153084	1.95892858718123	6.42741935483871	8.11333336830139	10.3919355023292	13.9249999682109	15.1387098681542	15.0064516990416	14.1416666984558	12.4806450874575	10.735000038147	5.44516129647532
1964	5.04193541311449	6.22241375364106	6.07419363144905	8.59999997615814	12.5983870413996	14.163333161672	16.35483864815	16.4145162336288	15.9216666857402	11.2193549986809	9.43500003814697	6.93064518128672
1965	5.95161299551687	4.4321428324495	6.87903227536909	8.56833329200745	11.4548387835103	13.6666666666667	14.4112903225806	15.4451614502938	13.381666692098	13.2112903902608	8.05000000794729	8.08548384328042
1966	5.5419354957919	8.06071432999202	7.74193549925281	9.97500001589457	11.4758064208492	14.8633333206177	15.1387097143358	16.0725805528702	16.1316667874654	12.5645161444141	8.10666675567627	8.31774190164382
