",tas"
"1850-01-31,-0.6745643701096202"
"1850-02-28,-0.33341597782160093"
"1850-03-31,-0.5913226325636404"
"1850-04-30,-0.5887211722846911"
"1850-05-31,-0.5081851030165047"
"1850-06-30,-0.344240117908988"
"1850-07-31,-0.15979019068333755"
"1850-08-31,-0.2076542935326944"
"1850-09-30,-0.38470692807619883"
"1850-10-31,-0.5331265367865242"
"1850-11-30,-0.2825075208660613"
"1850-12-31,-0.40367042786512414"
"1851-01-31,-0.2007393872995465"
"1851-02-28,-0.46933235150933506"
"1851-03-31,-0.6460530514707198"
"1851-04-30,-0.542132599607966"
"1851-05-31,-0.19762274850271652"
"1851-06-30,-0.13670355316436825"
"1851-07-31,-0.09681560424282697"
"1851-08-31,-0.10175374768422468"
"1851-09-30,-0.09124488020500873"
"1851-10-31,-0.008362630344576438"
"1851-11-30,-0.08189083685896076"
"1851-12-31,-0.22754621183414886"
"1852-01-31,-0.37509566248696"
"1852-02-29,-0.47672673038793467"
"1852-03-31,-0.5597683305748153"
"1852-04-30,-0.585370449332988"
"1852-05-31,-0.12741269189581406"
"1852-06-30,-0.0836591322088029"
"1852-07-31,0.005029384760933631"
"1852-08-31,-0.13558697051701962"
"1852-09-30,-0.0019016695268494655"
"1852-10-31,-0.17243400623415817"
"1852-11-30,-0.3052479126817043"
"1852-12-31,0.06538530352691047"
"1853-01-31,-0.23259853011898418"
"1853-02-28,-0.40372267207133034"
"1853-03-31,-0.28042167795094985"
"1853-04-30,-0.3863199404799309"
"1853-05-31,-0.2678886149429937"
"1853-06-30,-0.14237619811278315"
"1853-07-31,-0.08344057778210413"
"1853-08-31,-0.0566471030895914"
"1853-09-30,-0.25025040508909835"
"1853-10-31,-0.3917679972031101"
"1853-11-30,-0.4114205335876545"
"1853-12-31,-0.33739905452592667"
"1854-01-31,-0.38137340087959964"
"1854-02-28,-0.3610940450127142"
"1854-03-31,-0.24269956011372243"
"1854-04-30,-0.3338324245905682"
"1854-05-31,-0.2907923847702481"
"1854-06-30,-0.2990268770165086"
"1854-07-31,-0.17864197599580733"
"1854-08-31,-0.23944737894489357"
"1854-09-30,-0.2167434420427709"
"1854-10-31,-0.09526510931085905"
"1854-11-30,-0.41029203044936124"
"1854-12-31,-0.45035180274386294"
"1855-01-31,-0.15919624121906953"
"1855-02-28,-0.3134493788458404"
"1855-03-31,-0.34401498054875673"
"1855-04-30,-0.21820336534053497"
"1855-05-31,-0.3877071286569119"
"1855-06-30,-0.33296261646545205"
"1855-07-31,-0.3329893067321592"
"1855-08-31,-0.1995246231033664"
"1855-09-30,-0.27071292755574555"
"1855-10-31,-0.19544719696762988"
"1855-11-30,-0.38930947152989126"
"1855-12-31,-0.41989731245046985"
"1856-01-31,-0.07562823861226248"
"1856-02-29,-0.33713822732808046"
"1856-03-31,-0.35769271486509396"
"1856-04-30,-0.31593842010445927"
"1856-05-31,-0.28508006689486076"
"1856-06-30,-0.21416615690525753"
"1856-07-31,-0.22469247669545198"
"1856-08-31,-0.23770598115220537"
"1856-09-30,-0.3882149153584713"
"1856-10-31,-0.43813570530655455"
"1856-11-30,-0.5523279378898828"
"1856-12-31,-0.41752372051985204"
"1857-01-31,-0.49476225167543075"
"1857-02-28,-0.4348799644532211"
"1857-03-31,-0.47860673397060766"
"1857-04-30,-0.6443353869955892"
"1857-05-31,-0.6587118291190265"
"1857-06-30,-0.3041452628724655"
"1857-07-31,-0.41136951657093845"
"1857-08-31,-0.36897413315077904"
"1857-09-30,-0.37968943842987757"
"1857-10-31,-0.4726354618205939"
"1857-11-30,-0.6851334927667488"
"1857-12-31,-0.2735170280557966"
"1858-01-31,-0.29548538938036517"
"1858-02-28,-0.47690182673861076"
"1858-03-31,-0.547657496758359"
"1858-04-30,-0.4279942840776903"
"1858-05-31,-0.5320950558557298"
"1858-06-30,-0.3795212252828982"
"1858-07-31,-0.3355508130173251"
"1858-08-31,-0.27754985298422996"
"1858-09-30,-0.2831858799640653"
"1858-10-31,-0.2887328948889484"
"1858-11-30,-0.36552475171556353"
"1858-12-31,-0.4549886866253408"
"1859-01-31,-0.3814846645723074"
"1859-02-28,-0.34352296828393775"
"1859-03-31,-0.3137172735443103"
"1859-04-30,-0.15715947038814976"
"1859-05-31,-0.15164812055291196"
"1859-06-30,-0.249576443126778"
"1859-07-31,-0.3120900205597848"
"1859-08-31,-0.24464844735819533"
"1859-09-30,-0.3938579989309055"
"1859-10-31,-0.2547204497100173"
"1859-11-30,-0.2875482059583278"
"1859-12-31,-0.28437134740732756"
"1860-01-31,-0.3905829741847593"
"1860-02-29,-0.4682911866562048"
"1860-03-31,-0.7864608594212525"
"1860-04-30,-0.30610729210781884"
"1860-05-31,-0.36362674923801236"
"1860-06-30,-0.21145956589853243"
"1860-07-31,-0.18476459189163436"
"1860-08-31,-0.11423859779740081"
"1860-09-30,-0.13131975245707073"
"1860-10-31,-0.345959501057631"
"1860-11-30,-0.6049400254844473"
"1860-12-31,-0.7742310356588488"
"1861-01-31,-0.9180395485464267"
"1861-02-28,-0.6245886163790343"
"1861-03-31,-0.41567023448197504"
"1861-04-30,-0.3862362634518898"
"1861-05-31,-0.660751891642483"
"1861-06-30,-0.2520212765834568"
"1861-07-31,-0.29750191018340594"
"1861-08-31,-0.0410931270814957"
"1861-09-30,-0.27033229009750864"
"1861-10-31,-0.4766464501635784"
"1861-11-30,-0.45758948262494237"
"1861-12-31,-0.3508542476269188"
"1862-01-31,-0.8248371745572959"
"1862-02-28,-0.7155355918476792"
"1862-03-31,-0.5353962933945092"
"1862-04-30,-0.5220845500908631"
"1862-05-31,-0.3478659119104005"
"1862-06-30,-0.3066113783369535"
"1862-07-31,-0.3448705856376385"
"1862-08-31,-0.45618081790847115"
"1862-09-30,-0.36242420476843995"
"1862-10-31,-0.4486702784053512"
"1862-11-30,-0.6777554692619302"
"1862-12-31,-0.8945406314093545"
"1863-01-31,-0.07634223366569208"
"1863-02-28,-0.24953308718699854"
"1863-03-31,-0.35499871666637817"
"1863-04-30,-0.28827204360154146"
"1863-05-31,-0.38400409840988997"
"1863-06-30,-0.3691290435890653"
"1863-07-31,-0.3123346805006903"
"1863-08-31,-0.29738236623410846"
"1863-09-30,-0.3520411290760196"
"1863-10-31,-0.5043271980945022"
"1863-11-30,-0.4405580335247409"
"1863-12-31,-0.5031957633998848"
"1864-01-31,-0.8532363795269875"
"1864-02-29,-0.5934414683502534"
"1864-03-31,-0.49939687098014235"
