,breakpoint,adjustment-to-next-breakpoint
0,1780-01-31,-0.04174548850211929
1,1792-03-31,-0.21162838406032983
2,1796-03-31,-0.06784125088023485
3,1800-04-30,-0.39614571465386295
4,1804-04-30,-0.22209801952453828
5,1812-05-31,-0.08684277575662508
6,1828-06-30,0.24979796524310025
7,1844-08-31,-0.0644593875434869
8,1876-11-30,-0.04939528536205451
9,1897-01-31,-0.03330531403354317
10,1909-03-31,0.0012042392292032772
11,1961-08-31,-0.0195264286465115
12,1989-11-30,0.15928097204728575
13,2010-01-31,0.31126473285897893
